Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
2.915961e-01,7.371181e-01,3.281638e-03,5.226768e-09,5.409017e-02,1.623654e-01,4.738623e-23,3.120888e-07,4.229967e-02,1.049759e-04,7.023711e-02,3.822034e-05,8.665783e+02,3.651245e-01,5.409017e-02,3.811877e-03,1.046776e-04,2.925746e-03,2.061851e-04
2.982193e-01,7.364347e-01,3.356737e-03,6.546772e-09,5.530957e-02,1.607730e-01,8.827525e-23,3.855043e-07,4.326294e-02,1.096733e-04,7.123147e-02,3.851570e-05,8.769199e+02,3.599976e-01,5.530957e-02,4.865981e-03,1.069888e-04,3.059149e-03,2.691353e-04
3.047122e-01,7.357643e-01,3.430537e-03,8.149394e-09,5.650236e-02,1.592145e-01,1.604530e-22,4.734278e-07,4.420786e-02,1.146145e-04,7.220272e-02,3.880053e-05,8.869392e+02,3.551384e-01,5.650236e-02,6.168564e-03,1.092547e-04,3.192517e-03,3.485384e-04
3.110252e-01,7.351120e-01,3.502510e-03,1.006645e-08,5.765899e-02,1.577023e-01,2.837214e-22,5.773664e-07,4.512730e-02,1.197431e-04,7.314316e-02,3.907292e-05,8.965635e+02,3.505668e-01,5.765899e-02,7.753122e-03,1.114564e-04,3.324559e-03,4.470372e-04
3.170823e-01,7.344855e-01,3.571825e-03,1.231122e-08,5.876512e-02,1.562547e-01,4.856178e-22,6.978875e-07,4.601027e-02,1.249607e-04,7.404131e-02,3.932993e-05,9.056834e+02,3.463179e-01,5.876512e-02,9.638053e-03,1.135660e-04,3.453339e-03,5.663813e-04
3.228447e-01,7.338887e-01,3.638060e-03,1.489290e-08,5.981337e-02,1.548815e-01,8.032839e-22,8.354245e-07,4.685115e-02,1.301829e-04,7.489141e-02,3.957036e-05,9.142493e+02,3.423979e-01,5.981337e-02,1.183779e-02,1.155683e-04,3.577639e-03,7.080581e-04
3.283327e-01,7.333197e-01,3.701471e-03,1.783729e-08,6.080717e-02,1.535779e-01,1.288510e-21,9.913575e-07,4.765294e-02,1.353728e-04,7.569651e-02,3.979549e-05,9.223008e+02,3.387732e-01,6.080717e-02,1.438058e-02,1.174694e-04,3.697512e-03,8.744424e-04
3.335359e-01,7.327794e-01,3.761958e-03,2.115006e-08,6.174450e-02,1.523466e-01,2.005204e-21,1.166053e-06,4.841414e-02,1.404663e-04,7.645523e-02,4.000528e-05,9.298317e+02,3.354331e-01,6.174450e-02,1.727715e-02,1.192646e-04,3.812383e-03,1.066769e-03
3.384605e-01,7.322672e-01,3.819600e-03,2.483693e-08,6.262634e-02,1.511862e-01,3.032467e-21,1.359932e-06,4.913566e-02,1.454171e-04,7.716862e-02,4.020039e-05,9.368595e+02,3.323579e-01,6.262634e-02,2.053761e-02,1.209551e-04,3.922058e-03,1.286195e-03
3.431523e-01,7.317783e-01,3.874945e-03,2.893305e-08,6.346081e-02,1.500859e-01,4.477559e-21,1.574987e-06,4.982421e-02,1.502249e-04,7.784353e-02,4.038295e-05,9.434575e+02,3.295057e-01,6.346081e-02,2.419803e-02,1.225562e-04,4.027274e-03,1.535627e-03
